"Species"	"Genus"	"Family"	"Order"	"Class"	"Phylum"	"Domain"
"Congregibacter sp"	"Congregibacter"	"Halieaceae"	"Pseudomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Conservatibacter flavescens"	"Conservatibacter"	"Pasteurellaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Consotaella salsifontis"	"Consotaella"	"Rhizobiaceae"	"Rhizobiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Contendobacter odensis"	"Contendobacter"	"Competibacteraceae"	"Competibacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Contendobacter sp"	"Contendobacter"	"Competibacteraceae"	"Competibacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Convivina intestini"	"Convivina"	"Lactobacillaceae"	"Lactobacillales"	"Bacilli"	"Firmicutes"	"Bacteria"
"Coprobacillus cateniformis"	"Coprobacillus"	"Erysipelatoclostridiaceae"	"Erysipelotrichales"	"Bacilli"	"Firmicutes"	"Bacteria"
"Coprobacter fastidiosus"	"Coprobacter"	"Coprobacteraceae"	"Bacteroidales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Coprobacter secundus"	"Coprobacter"	"Coprobacteraceae"	"Bacteroidales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Coprobacter sp"	"Coprobacter"	"Coprobacteraceae"	"Bacteroidales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Coprococcus eutactus"	"Coprococcus"	"Lachnospiraceae"	"Lachnospirales"	"Clostridia"	"Firmicutes"	"Bacteria"
"Coprococcus sp"	"Coprococcus"	"Lachnospiraceae"	"Lachnospirales"	"Clostridia"	"Firmicutes"	"Bacteria"
"Coprococcus catus"	"Coprococcus"	"Lachnospiraceae"	"Lachnospirales"	"Clostridia"	"Firmicutes"	"Bacteria"
"Coprothermobacter platensis"	"Coprothermobacter"	"Coprothermobacteraceae"	"Coprothermobacterales"	"Coprothermobacteria"	"Coprothermobacterota"	"Bacteria"
"Coprothermobacter proteolyticus"	"Coprothermobacter"	"Coprothermobacteraceae"	"Coprothermobacterales"	"Coprothermobacteria"	"Coprothermobacterota"	"Bacteria"
"Coprothermobacter sp"	"Coprothermobacter"	"Coprothermobacteraceae"	"Coprothermobacterales"	"Coprothermobacteria"	"Coprothermobacterota"	"Bacteria"
"Coraliomargarita akajimensis"	"Coraliomargarita"	"Puniceicoccaceae"	"Opitutales"	"Verrucomicrobiae"	"Verrucomicrobiota"	"Bacteria"
"Coraliomargarita sp"	"Coraliomargarita"	"Puniceicoccaceae"	"Opitutales"	"Verrucomicrobiae"	"Verrucomicrobiota"	"Bacteria"
"Corallincola sp"	"Corallincola"	"Neiellaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Corallococcus coralloides"	"Corallococcus"	"Myxococcaceae"	"Myxococcales"	"Myxococcia"	"Myxococcota"	"Bacteria"
"Corallococcus exiguus"	"Corallococcus"	"Myxococcaceae"	"Myxococcales"	"Myxococcia"	"Myxococcota"	"Bacteria"
"Corallococcus sp"	"Corallococcus"	"Myxococcaceae"	"Myxococcales"	"Myxococcia"	"Myxococcota"	"Bacteria"
"Coriobacterium glomerans"	"Coriobacterium"	"Coriobacteriaceae"	"Coriobacteriales"	"Coriobacteriia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium accolens"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium afermentans"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium ammoniagenes"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium amycolatum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium appendicis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium aquilae"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium argentoratense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium atypicum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium aurimucosum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium auriscanis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium bouchesdurhonense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium bovis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium callunae"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium camporealensis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium capitovis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium casei"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium caspium"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium choanis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium ciconiae"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium coyleae"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium crudilactis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium cystitidis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium deserti"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium diphtheriae"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium doosanense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium durum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium efficiens"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium epidermidicanis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium falsenii"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium flavescens"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium fournierii"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium frankenforstense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium freiburgense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium freneyi"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium genitalium"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium geronticis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium glaucum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium glucuronolyticum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium glutamicum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium glyciniphilum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium gottingense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium halotolerans"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium heidelbergense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium humireducens"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium imitans"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium jeddahense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium jeikeium"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium kefirresidentii"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium kroppenstedtii"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium kutscheri"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium lactis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium lipophiloflavum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium lowii"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium lubricantis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium macginleyi"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium marinum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium maris"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium massiliense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium mastitidis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium matruchotii"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium minutissimum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium mustelae"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium mycetoides"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium nuruki"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium oculi"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium otitidis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium pelargi"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium phocae"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium phoceense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium pilosum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium pollutisoli"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium propinquum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium provencense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium pseudodiphtheriticum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium pseudogenitalium"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium pseudopelargi"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium pseudotuberculosis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium pyruviciproducens"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium renale"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium resistens"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium riegelii"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium senegalense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium simulans"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium singulare"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium sp"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium stationis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium striatum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium tapiri"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium terpenotabidum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium testudinoris"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium timonense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium tuberculostearicum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium tuscaniense"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium ulcerans"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium ulceribovis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium urealyticum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium ureicelerivorans"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium urinapleomorphum"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium uterequi"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium variabile"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium vitaeruminis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Corynebacterium xerosis"	"Corynebacterium"	"Mycobacteriaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Coxiella burnetii"	"Coxiella"	"Coxiellaceae"	"Coxiellales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Coxiella mudrowiae"	"Coxiella"	"Coxiellaceae"	"Coxiellales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Coxiella sp"	"Coxiella"	"Coxiellaceae"	"Coxiellales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"CP2-2F sp"	"CP2-2F"	"UBA2796"	"SBR1031"	"Anaerolineae"	"Chloroflexota"	"Bacteria"
"CPC320 sp"	"CPC320"	"Rhodobacteraceae"	"Rhodobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"CR-1 sp"	"CR-1"	"CR-1"	"Desulfobacterales"	"Desulfobacteria"	"Desulfobacterota"	"Bacteria"
"CR02bin9 sp"	"CR02bin9"	"UBA2774"	"UBA2774"	"UBA1144"	"Desulfobacterota"	"Bacteria"
"CR04bin15 sp"	"CR04bin15"	"CR04bin15"	"CR04bin15"	"UBA2214"	"KSB1"	"Bacteria"
"Crenalkalicoccus roseus"	"Crenalkalicoccus"	"Acetobacteraceae"	"Acetobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Crenobacter cavernae"	"Crenobacter"	"Chromobacteriaceae"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Crenobacter luteus"	"Crenobacter"	"Chromobacteriaceae"	"Burkholderiales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Crenothrix polyspora"	"Crenothrix"	"Methylomonadaceae"	"Methylococcales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Crenothrix sp"	"Crenothrix"	"Methylomonadaceae"	"Methylococcales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Criblamydia sequanensis"	"Criblamydia"	"Criblamydiaceae"	"Parachlamydiales"	"Chlamydiia"	"Verrucomicrobiota"	"Bacteria"
"Cribrihabitans marinus"	"Cribrihabitans"	"Rhodobacteraceae"	"Rhodobacterales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Cricetibacter osteomyelitidis"	"Cricetibacter"	"Pasteurellaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Criibacterium bergeronii"	"Criibacterium"	"Filifactoraceae"	"Peptostreptococcales"	"Clostridia"	"Firmicutes"	"Bacteria"
"Crinalium epipsammum"	"Crinalium"	"Chamaesiphonaceae"	"Cyanobacteriales"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"Croceibacter atlanticus"	"Croceibacter"	"Flavobacteriaceae"	"Flavobacteriales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Croceibacterium atlanticus"	"Croceibacterium"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Croceibacterium mercuriale"	"Croceibacterium"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Croceibacterium sp"	"Croceibacterium"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Croceicoccus marinus"	"Croceicoccus"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Croceicoccus mobilis"	"Croceicoccus"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Croceicoccus naphthovorans"	"Croceicoccus"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Croceicoccus pelagius"	"Croceicoccus"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Croceicoccus sp"	"Croceicoccus"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"Croceitalea dokdonensis"	"Croceitalea"	"Flavobacteriaceae"	"Flavobacteriales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Croceivirga radicis"	"Croceivirga"	"Flavobacteriaceae"	"Flavobacteriales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Croceivirga sp"	"Croceivirga"	"Flavobacteriaceae"	"Flavobacteriales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Crocinitomix algicola"	"Crocinitomix"	"Crocinitomicaceae"	"Flavobacteriales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Crocinitomix catalasitica"	"Crocinitomix"	"Crocinitomicaceae"	"Flavobacteriales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Crocosphaera chwakensis"	"Crocosphaera"	"Microcystaceae"	"Cyanobacteriales"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"Crocosphaera sp"	"Crocosphaera"	"Microcystaceae"	"Cyanobacteriales"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"Crocosphaera subtropica"	"Crocosphaera"	"Microcystaceae"	"Cyanobacteriales"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"Crocosphaera watsonii"	"Crocosphaera"	"Microcystaceae"	"Cyanobacteriales"	"Cyanobacteriia"	"Cyanobacteria"	"Bacteria"
"Cronobacter condimenti"	"Cronobacter"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Cronobacter dublinensis"	"Cronobacter"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Cronobacter malonaticus"	"Cronobacter"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Cronobacter muytjensii"	"Cronobacter"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Cronobacter sakazakii"	"Cronobacter"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Cronobacter turicensis"	"Cronobacter"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Cronobacter universalis"	"Cronobacter"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"Crossiella equi"	"Crossiella"	"Pseudonocardiaceae"	"Mycobacteriales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cruoricaptor ignavus"	"Cruoricaptor"	"Weeksellaceae"	"Flavobacteriales"	"Bacteroidia"	"Bacteroidota"	"Bacteria"
"Cryobacterium arcticum"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryobacterium aureum"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryobacterium flavum"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryobacterium levicorallinum"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryobacterium luteum"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryobacterium psychrophilum"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryobacterium psychrotolerans"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryobacterium roopkundense"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryobacterium sp"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryobacterium zongtaii"	"Cryobacterium"	"Microbacteriaceae"	"Actinomycetales"	"Actinomycetia"	"Actinobacteriota"	"Bacteria"
"Cryosericum hinesii"	"Cryosericum"	"Cryosericaceae"	"Cryosericales"	"Caldisericia"	"Caldisericota"	"Bacteria"
"Cryosericum odellii"	"Cryosericum"	"Cryosericaceae"	"Cryosericales"	"Caldisericia"	"Caldisericota"	"Bacteria"
"Cryosericum septentrionale"	"Cryosericum"	"Cryosericaceae"	"Cryosericales"	"Caldisericia"	"Caldisericota"	"Bacteria"
