"Species"	"Genus"	"Family"	"Order"	"Class"	"Phylum"	"Domain"
"1-14-0-10-43-10 sp"	"1-14-0-10-43-10"	"XYC2-FULL-47-12"	"BM507"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-43-11 sp"	"1-14-0-10-43-11"	"XYC2-FULL-47-12"	"BM507"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-43-13 sp"	"1-14-0-10-43-13"	"XYA2-FULL-43-10"	"XYA2-FULL-43-10"	"UBA1384"	"Patescibacteria"	"Bacteria"
"1-14-0-10-43-42 sp"	"1-14-0-10-43-42"	"2-02-FULL-48-12"	"Ryanbacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-44-23 sp"	"1-14-0-10-44-23"	"1-14-0-10-44-23"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-45-20 sp"	"1-14-0-10-45-20"	"UBA2163"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-45-34 sp"	"1-14-0-10-45-34"	"1-14-0-10-45-34"	"Bdellovibrionales"	"Bdellovibrionia"	"Bdellovibrionota"	"Bacteria"
"1-14-0-10-46-23 sp"	"1-14-0-10-46-23"	"IGHO2-12-FULL-4"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-46-36 sp"	"1-14-0-10-46-36"	"1-14-0-10-42-19"	"WO2-41-13"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-47-10 sp"	"1-14-0-10-47-10"	"UBA922"	"Magasanikbacterales"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-47-16 sp"	"1-14-0-10-47-16"	"UBA2163"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-48-11 sp"	"1-14-0-10-48-11"	"GWA2-46-9"	"GWA2-46-9"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-10-49-15 sp"	"1-14-0-10-49-15"	"1-14-0-10-44-23"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-49-17 sp"	"1-14-0-10-49-17"	"UBA2163"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-51-16 sp"	"1-14-0-10-51-16"	"UBA12445"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-55-24 sp"	"1-14-0-10-55-24"	"Peribacteraceae"	"Peribacterales"	"Gracilibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-10-56-10 sp"	"1-14-0-10-56-10"	"PJMF01"	"UBA1400"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"1-14-0-20-35-14 sp"	"1-14-0-20-35-14"	"XYB1-36-10"	"UBA6257"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"1-14-0-20-39-34 sp"	"1-14-0-20-39-34"	"UBA922"	"Magasanikbacterales"	"ABY1"	"Patescibacteria"	"Bacteria"
"1-14-0-20-39-49 sp"	"1-14-0-20-39-49"	"UBA6187"	"Rickettsiales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"1-14-0-20-42-13 sp"	"1-14-0-20-42-13"	"1-14-0-20-42-13"	"1-14-0-20-42-13"	"Koll11"	"Omnitrophota"	"Bacteria"
"1-14-0-20-42-23 sp"	"1-14-0-20-42-23"	"2-02-FULL-44-16"	"2-02-FULL-44-16"	"UBA10199"	"UBA10199"	"Bacteria"
"1-14-0-20-45-15 sp"	"1-14-0-20-45-15"	"Nitrospinaceae"	"Nitrospinales"	"Nitrospinia"	"Nitrospinota"	"Bacteria"
"1-14-0-20-45-16 sp"	"1-14-0-20-45-16"	"UBA2394"	"UBA2394"	"UBA2394"	"Bdellovibrionota"	"Bacteria"
"1-14-0-20-45-26 sp"	"1-14-0-20-45-26"	"1-14-0-20-45-26"	"Omnitrophales"	"Omnitrophia"	"Omnitrophota"	"Bacteria"
"1-14-0-20-46-22 sp"	"1-14-0-20-46-22"	"UBA12402"	"UBA12402"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"1-14-0-20-47-16 sp"	"1-14-0-20-47-16"	"1-14-0-20-47-16"	"GCA-002796325"	"UBA10199"	"UBA10199"	"Bacteria"
"1-14-0-20-49-13 sp"	"1-14-0-20-49-13"	"1-14-0-20-49-13"	"GCA-002796325"	"UBA10199"	"UBA10199"	"Bacteria"
"1-14-0-20-64-10 sp"	"1-14-0-20-64-10"	"1-14-0-20-64-10"	"1-14-0-20-64-10"	"Koll11"	"Omnitrophota"	"Bacteria"
"1-14-0-65-60-17 sp"	"1-14-0-65-60-17"	"UBA10348"	"Rhodothermales"	"Rhodothermia"	"Bacteroidota"	"Bacteria"
"1-14-0-65-65-10 sp"	"1-14-0-65-65-10"	"Sphingomonadaceae"	"Sphingomonadales"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"1-14-2-50-31-20 sp"	"1-14-2-50-31-20"	"Melioribacteraceae"	"Ignavibacteriales"	"Ignavibacteria"	"Bacteroidota"	"Bacteria"
"1-14-2-50-48-13 sp"	"1-14-2-50-48-13"	"1-14-2-50-48-13"	"1-14-2-50-48-13"	"Gracilibacteria"	"Patescibacteria"	"Bacteria"
"1-19 sp"	"1-19"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"1109 sp"	"1109"	"DTU010"	"DTU010"	"Limnochordia"	"Firmicutes"	"Bacteria"
"1162T-S-0a-05 sp"	"1162T-S-0a-05"	"Cellvibrionaceae"	"Pseudomonadales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"12-FULL-43-12b sp"	"12-FULL-43-12b"	"Zambryskibacteraceae"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"12-FULL-44-12b sp"	"12-FULL-44-12b"	"Zambryskibacteraceae"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"12-FULL-45-19b sp"	"12-FULL-45-19b"	"IGHO2-12-FULL-4"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"12-FULL-67-14b sp"	"12-FULL-67-14b"	"UBA2999"	"Vicinamibacterales"	"Vicinamibacteria"	"Acidobacteriota"	"Bacteria"
"13-1-40CM-64-14 sp"	"13-1-40CM-64-14"	"13-1-40CM-64-14"	"CSP1-3"	"CSP1-3"	"CSP1-3"	"Bacteria"
"13-1-40CM-70-15 sp"	"13-1-40CM-70-15"	"GWC2-71-9"	"Gemmatimonadales"	"Gemmatimonadetes"	"Gemmatimonadota"	"Bacteria"
"13-2-20CM-66-19 sp"	"13-2-20CM-66-19"	"Steroidobacteraceae"	"Steroidobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"13-2-20CM-68-14 sp"	"13-2-20CM-68-14"	"Gaiellaceae"	"Gaiellales"	"Thermoleophilia"	"Actinobacteriota"	"Bacteria"
"14-2 sp"	"14-2"	"Lachnospiraceae"	"Lachnospirales"	"Clostridia"	"Firmicutes"	"Bacteria"
"159R sp"	"159R"	"Enterobacteriaceae"	"Enterobacterales"	"Gammaproteobacteria"	"Proteobacteria"	"Bacteria"
"16-39-46 sp"	"16-39-46"	"16-39-46"	"16-39-46"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"18JY21-1 sp"	"18JY21-1"	"Paenibacillaceae"	"Paenibacillales"	"Bacilli"	"Firmicutes"	"Bacteria"
"1NLA3E sp"	"1NLA3E"	"Bacillaceae"	"Bacillales"	"Bacilli"	"Firmicutes"	"Bacteria"
"1XD42-69 sp"	"1XD42-69"	"Lachnospiraceae"	"Lachnospirales"	"Clostridia"	"Firmicutes"	"Bacteria"
"1XD8-76 sp"	"1XD8-76"	"Lachnospiraceae"	"Lachnospirales"	"Clostridia"	"Firmicutes"	"Bacteria"
"2-01-FULL-33-17 sp"	"2-01-FULL-33-17"	"UBA9973"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-36-15 sp"	"2-01-FULL-36-15"	"GWA1-39-11"	"Levybacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-37-20 sp"	"2-01-FULL-37-20"	"UBA12049"	"Levybacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-38-13 sp"	"2-01-FULL-38-13"	"UBA12049"	"Levybacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-38-21 sp"	"2-01-FULL-38-21"	"UBA12049"	"Levybacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-38-26 sp"	"2-01-FULL-38-26"	"UBA12049"	"Levybacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-10-A sp"	"2-01-FULL-39-10-A"	"UBA12049"	"Levybacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-10 sp"	"2-01-FULL-39-10"	"UBA8517"	"GWA2-44-7"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-12-A sp"	"2-01-FULL-39-12-A"	"UBA10151"	"Daviesbacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-12 sp"	"2-01-FULL-39-12"	"LOWO2-01-FULL-3"	"UBA1369"	"Gracilibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-13 sp"	"2-01-FULL-39-13"	"2-01-FULL-39-13"	"2-01-FULL-39-13"	"WWE3"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-19 sp"	"2-01-FULL-39-19"	"HO2-37-13b"	"UBA1406"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-21 sp"	"2-01-FULL-39-21"	"UBA8517"	"GWA2-44-7"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-24 sp"	"2-01-FULL-39-24"	"HO2-37-13b"	"UBA1406"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-28 sp"	"2-01-FULL-39-28"	"GWA2-44-9"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-39-33 sp"	"2-01-FULL-39-33"	"2-01-FULL-39-33"	"Buchananbacterales"	"ABY1"	"Patescibacteria"	"Bacteria"
"2-01-FULL-40-13 sp"	"2-01-FULL-40-13"	"GWC2-37-13"	"UBA1406"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-40-14 sp"	"2-01-FULL-40-14"	"2-01-FULL-40-14"	"GCA-001788215"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-40-24 sp"	"2-01-FULL-40-24"	"UBA10151"	"Daviesbacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-40-39 sp"	"2-01-FULL-40-39"	"Staskawiczbacteraceae"	"Paceibacterales"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-40-42 sp"	"2-01-FULL-40-42"	"GWC2-37-13"	"UBA1406"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-41-11 sp"	"2-01-FULL-41-11"	"GWA2-41-24"	"Curtissbacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-41-12 sp"	"2-01-FULL-41-12"	"UBA6249"	"GIF10"	"Koll11"	"Omnitrophota"	"Bacteria"
"2-01-FULL-41-14 sp"	"2-01-FULL-41-14"	"UBA5542"	"UBA7879"	"Alphaproteobacteria"	"Proteobacteria"	"Bacteria"
"2-01-FULL-41-18-A sp"	"2-01-FULL-41-18-A"	"GWA2-41-24"	"Curtissbacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-41-18 sp"	"2-01-FULL-41-18"	"2-01-FULL-41-18"	"UBA101185"	"WWE3"	"Patescibacteria"	"Bacteria"
"2-01-FULL-41-21 sp"	"2-01-FULL-41-21"	"GWA2-44-9"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-41-22 sp"	"2-01-FULL-41-22"	"GWC2-37-13"	"UBA1406"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-41-26 sp"	"2-01-FULL-41-26"	"GWA2-44-9"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-42-13 sp"	"2-01-FULL-42-13"	"UBA10185"	"UBA101185"	"WWE3"	"Patescibacteria"	"Bacteria"
"2-01-FULL-42-15 sp"	"2-01-FULL-42-15"	"UBA12049"	"Levybacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-42-20 sp"	"2-01-FULL-42-20"	"UBA9973"	"UBA9983"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-43-14 sp"	"2-01-FULL-43-14"	"2-01-FULL-43-14"	"Woykebacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-43-22 sp"	"2-01-FULL-43-22"	"GWA2-44-9"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-43-38 sp"	"2-01-FULL-43-38"	"UBA10151"	"Daviesbacterales"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-44-10 sp"	"2-01-FULL-44-10"	"UBA8517"	"GWA2-44-7"	"Microgenomatia"	"Patescibacteria"	"Bacteria"
"2-01-FULL-44-11 sp"	"2-01-FULL-44-11"	"UBA6539"	"Buchananbacterales"	"ABY1"	"Patescibacteria"	"Bacteria"
"2-01-FULL-44-17 sp"	"2-01-FULL-44-17"	"IGHO2-01-FULL-4-A"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-44-21 sp"	"2-01-FULL-44-21"	"O2-02-FULL-48-8"	"UBA920"	"Doudnabacteria"	"Patescibacteria"	"Bacteria"
"2-01-FULL-44-22 sp"	"2-01-FULL-44-22"	"GWA2-44-9"	"2-02-FULL-40-12"	"Paceibacteria"	"Patescibacteria"	"Bacteria"
